StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q7,Q8,Q9,Q10,Q11,Q12,Q19,Q21,Q13,Q14,Q15,Q15_7_TEXT,Q16,Q17,Q17_5_TEXT,Q18,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_5_TEXT,Q23,Q24,Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6
2020-06-18 13:16:20,2020-06-18 13:28:19,IP Address,100.42.90.11,100,719,True,2020-06-18 13:28:19,R_wL6KlV6ETZJPifL,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Excellent,No,Yes,Yes,,,,,Not enough affordable housing,,No,5,4,2,3,1,"The biggest problem I can see with people wanting to live in Ida Grove is that there is no ""community"" in Ida Grove.  This town does NOT band together to get projects done.  The theatre project is the last thing to be completed by the ""community"" when in actuality, it was completed by a small number of volunteers...the last ""community"" project was the REC center...but that was 25 years ago....again....completed by a small number of volunteers...","If my opinion, the ONLY way to make ""affordable housing"" is by having jobs that pay a sufficient wage to AFFORD the housing.  The plant jobs do NOT pay enough $$$ to purchase housing in Ida Grove...thats why there are so many that drive from smaller towns with less expensive houses and less expensive taxes....AFFORDABLE housing is described as.....how much?  The plant jobs will support a sale price of approximately $80,000.00.  Thats with very low interest, real estate taxes and insurance for a monthly payment of about $800.00 total.  ","I think you are completely wasting your time.  If jobs do NOT support being able to afford a house, THAT is where the problem lies.  Quit trying to give stuff away.  It doesn't work.  Pay the employees a good wage...maybe it will attract a better employee....maybe it will be incentive for employees to actually show up to work....I understand that is quite a problem at both plants....",Male,56 -70,2,0,White or Caucassian,,"$100,000 or more"
2020-06-18 13:25:48,2020-06-18 13:30:09,IP Address,174.219.25.118,100,260,True,2020-06-18 13:30:09,R_11X76wmOba4miiI,,,,,44.9120941162109375,-93.17169952392578125,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,$700 - $899,Excellent,Yes,Yes,No,Less than 30 minutes,,,,Housing quality if poor,,No,3,4,1,2,5,,"People lacking money or motivation to improve. What’s in it for them? I feel that some people don’t show pride in their homes and it’s hard to change the mindset. ",Provide programs for people to build new or add an addition to town. Encourage people to fin prove the neighborhoods,Male,26 - 40,2,0,White or Caucassian,,"$100,000 or more"
2020-06-18 13:38:23,2020-06-18 13:45:44,IP Address,45.53.67.144,100,441,True,2020-06-18 13:45:44,R_3EBgzy9805Iq1wL,,,,,42.33270263671875,-95.60449981689453125,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Excellent,Yes,Yes,Yes,,,,,Do not qualify for home mortgage,,No,,1,,,2,,pair the type of housing with the type of people,agree on what & where,Male,56 -70,2,0,White or Caucassian,,"$100,000 or more"
2020-06-18 13:51:39,2020-06-18 13:54:19,IP Address,174.219.22.28,100,160,True,2020-06-18 13:54:19,R_RkV4UzJ36EeMrM5,,,,,44.954803466796875,-93.15509796142578125,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,$300 - $499,Fair,Yes,Yes,Yes,,,,,Housing quality if poor,,No,3,4,1,2,,,,,Female,19 - 25,2,1,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 13:51:35,2020-06-18 13:59:17,IP Address,50.120.255.2,100,461,True,2020-06-18 13:59:17,R_qI1s4KyKJdgIig9,,,,,42.5059967041015625,-94.182403564453125,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Excellent,No,Yes,Yes,,,,,Not enough of the right home styles,,No,4,1,5,3,2,condos/townhomes,"Lack of pride, effort, and desire of keeping property in good repair, lack of funds as well","offer program to improve homes for lower income ranges and see if it is used, incentive to builder/land owners to build condos/townhomes, this survey should be revealing to determine what specific actions need to be taken",Female,56 -70,2,0,White or Caucassian,,"$100,000 or more"
2020-06-18 13:55:10,2020-06-18 14:00:37,IP Address,174.219.1.238,100,327,True,2020-06-18 14:00:38,R_1MM5fADiR9VUZF6,,,,,45.0027008056640625,-93.48809814453125,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Fair,Yes,Yes,Yes,,,,,Not enough affordable housing,,Yes,4,1,2,3,,,No lumber yard/building center,Make the houses look better.,Male,19 - 25,2,1,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 13:53:26,2020-06-18 14:12:01,IP Address,67.44.240.26,100,1115,True,2020-06-18 14:12:02,R_32INSSOVMBcdXA4,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,No,,,,,,,,Yes,,Other,Buying a home in Ida grove now,More home ownership options,Other,Not enough homes for sale of reasonable price,Yes,,1,2,3,,,,"Having more online registered housing. If you do not have access to local listings, you lose out on options. Those moving here do not have that option available most times and it makes it harder. ",Female,26 - 40,2,2,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 15:00:04,2020-06-18 15:03:03,IP Address,174.219.10.16,100,178,True,2020-06-18 15:03:04,R_3nSDAn55Q4bghCM,,,,,44.9427032470703125,-93.28710174560546875,anonymous,EN,Yes,10+ years,Own,Single-family home,"$1,200 - $1,499",Good,Yes,Yes,No,30 min - 1 hr.,,,,Other,.,No,,,,,,,,,Male,41 - 55,2,0,White or Caucassian,,"$100,000 or more"
2020-06-18 15:31:22,2020-06-18 15:33:30,IP Address,66.172.217.74,100,127,True,2020-06-18 15:33:30,R_3k4IXJGKi0Chp23,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$2,000 or more",Excellent,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,4,2,3,1,,,,,Male,26 - 40,2,4,White or Caucassian,,"$100,000 or more"
2020-06-18 15:31:33,2020-06-18 15:40:42,IP Address,66.172.217.147,100,548,True,2020-06-18 15:40:42,R_ODwwG0GGteYdwS5,,,,,42.497100830078125,-95.57160186767578125,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$700 - $899,Good,,,No,,,,,Housing quality if poor,,,,,,,,,not enough people are able to afford quality housing,raise ages for low income workers,Female,41 - 55,3,1,Don't wish to answer,,"$60,000 - $79,999"
2020-06-18 15:33:17,2020-06-18 15:41:12,IP Address,66.172.230.115,100,475,True,2020-06-18 15:41:13,R_2rqMMC2E7PAa08A,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,Yes,,,,,Housing quality if poor,,Yes,4,2,3,1,5,We don’t need more rental units. The ones we have need to be fixed and kept up. Get rid of the drugs.,"Landlords have no incentives to have nice units to rent. The existing units have been destroyed by the drugs, crime, and violence. Why would the good landlords put money from their own pocket into repairs each month after having to clean up the mess tenants leave. If the landlords were able to repair their units they may have an incentive to keep the units clean and repaired. Right now most rental units need to be gutted and to start over. That’s expensive.",Incentives to beautify not only the down town area but also the residential areas. Reduce the drugs and crime. Accept we have a drug problem in our community and work together to end it.,Female,41 - 55,2,3,White or Caucassian,,"$100,000 or more"
2020-06-18 16:17:29,2020-06-18 16:21:15,IP Address,66.172.227.236,100,226,True,2020-06-18 16:21:16,R_3DbwE32wTfbFmC4,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Excellent,No,Yes,Retired,,,,,Not enough of the right home styles,,No,,,,,,,,,Female,71 +,2,0,White or Caucassian,,"$80,000 - $99,999"
2020-06-18 16:50:44,2020-06-18 17:25:48,IP Address,100.42.84.240,100,2103,True,2020-06-18 17:25:49,R_b7neshJRUFgkzK1,,,,,42.497100830078125,-95.57160186767578125,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$500 - $699,Good,Yes,Yes,No,Less than 30 minutes,,,,Housing quality if poor,,No,3,2,4,1,,,The people who have money and make decisions are too far disconnected from needs of lower middle class,,Female,26 - 40,2,1,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 17:07:51,2020-06-18 17:25:50,IP Address,174.219.149.239,100,1079,True,2020-06-18 17:25:50,R_ZegZtMosOfbWeYN,,,,,44.9004974365234375,-93.2884979248046875,anonymous,EN,Yes,10+ years,Rent,Apartment,$500 - $699,Good,Yes,Yes,Retired,,,,,Other,"I'm disabled and live on fixed, limited income and cannot afford a mortgage and don't qualify for one",No,3,1,2,4,,,"I lived in Maple River apts for 8 years and its great cuz the rent is based on ur income. However, it soon became one of the biggest hot spots for drug users, dealers to live, hang out, there were break ins, fights and lots of drama!!!  I highly recommend with an apt application they are required to submit references!! Those apts are terrible and unsafe out there. The landlord gets a bonus when apts are full and didnt seem to bother him who he rented to ",,Female,41 - 55,,0,White or Caucassian,,"$19,999 or less"
2020-06-18 18:01:35,2020-06-18 18:10:04,IP Address,66.172.227.174,100,509,True,2020-06-18 18:10:05,R_ByKjpBdEbnl3RTP,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,Yes,,,,,Not enough affordable housing,,No,4,1,2,3,,,"Affordable areas to build. And the overall cost of lots.. Getting rid of existing non liveable homes so that new homes could be put up (trailer court in old town) vacant homes that are  empty for a period of time. be able to purchase them. Taxes for new dwellings.. ",For quality make home owners of homes that are in need to cleaning or removal held accountable to get them cleaned up or disposed of,Female,41 - 55,3,0,White or Caucassian,,"$80,000 - $99,999"
2020-06-18 19:03:15,2020-06-18 19:06:14,IP Address,66.172.218.182,100,178,True,2020-06-18 19:06:14,R_2Bx7c9z1Kc0WB6N,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Good,No,Yes,Yes,,,,,Do not qualify for home mortgage,,No,2,1,4,3,,,people can't save for a down payment,offer financial course that leads to home ownership--help them learn to set priorities,Female,56 -70,2,0,White or Caucassian,,"$20,000 - $39,999"
2020-06-18 20:12:29,2020-06-18 20:18:22,IP Address,66.172.227.167,100,352,True,2020-06-18 20:18:22,R_3qx3eyOyxGtZIxg,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Excellent,Yes,,Yes,,,,,Not enough of the right home styles,,No,,,,,,,Get rid of the people that are in town that are dealing drugs. It lowers the value of homes .,,Female,41 - 55,2,0,White or Caucassian,,"$100,000 or more"
2020-06-18 20:51:01,2020-06-18 20:56:58,IP Address,198.14.248.83,100,356,True,2020-06-18 20:56:59,R_2upSnByqjwWfUmv,,,,,41.0352935791015625,-92.79239654541015625,anonymous,EN,No,,,,,,,,No,Less than 30 minutes,Difficult to find a home to purchase in Ida Grove that suits my family's needs,,"More home ownership options,More affordable housing options,Better quality housing options",Not enough of the right home styles,,Yes,4,1,3,2,,,"There needs to be some areas of clean up through out the town to make it more appealing to people. Several run down homes & buildings need to be fixed or removed. ",,Female,41 - 55,2,1,White or Caucassian,,"$100,000 or more"
2020-06-18 20:58:57,2020-06-18 21:04:27,IP Address,66.172.250.189,100,330,True,2020-06-18 21:04:27,R_1IK5HgLy5rMIvhF,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Good,Yes,Yes,Retired,,,,,Not enough affordable housing,,No,4,1,3,5,2,Retirement housing,People can’t afford it,"Low interest loans ",Female,56 -70,3,0,White or Caucassian,,"$40,000 - $59,999"
2020-06-19 05:53:17,2020-06-19 06:24:38,IP Address,66.172.217.217,100,1881,True,2020-06-19 06:24:39,R_0UpfF6CVONMReNz,,,,,42.497100830078125,-95.57160186767578125,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Excellent,Yes,Yes,Retired,,,,,Housing quality if poor,,Yes,,2,1,,3,"Many rental properties in Ida Grove are managed by outside or irrespononsible people. They fill their units with people involved in criminal activities, that in turn chase away good renters, tax our law enforcement system.","Housing will not improve until current rental owners become responsible good caretakers of their own property. We have these type of owners directly involved in city governance so to create conflict of interest.  New owners of existing rental property, improvements done, responsibility for quality of people in those units. The consensus in town is, do not live anywhere near current rental property. There would be more new houses built in town if these blighted apartments houses were improved. In some cases that would in turn free up moderate well kept housing as people upgrade.","    Start first by ENFORCING penalties/fines onto irresponsible owners of rental properties that are blighting our community. Next, incentive programs for motivated but financially incapable families to clean up/repair their property, or purchase a fixer upper and clean it up.",Male,56 -70,2,0,White or Caucassian,,"$100,000 or more"
2020-06-19 06:16:31,2020-06-19 06:27:25,IP Address,66.172.250.211,100,654,True,2020-06-19 06:27:25,R_2dzP0Ef1xvWM1Bo,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Other,Single-family home,Less than $300,Good,No,No,Yes,,,,,Not enough affordable housing,,No,3,4,2,1,,,Lack of upper / middle class employment opportunities.,Attract more business & light industry.,Male,56 -70,2,0,White or Caucassian,,"$60,000 - $79,999"
2020-06-19 06:42:06,2020-06-19 06:50:12,IP Address,45.52.242.164,100,485,True,2020-06-19 06:50:12,R_3388z1AxFEafSse,,,,,42.798492431640625,-96.16629791259765625,anonymous,EN,Yes,10+ years,Own,Single-family home,,Good,No,No,Retired,,,,,,,No,,,,,,,,,Male,71 +,2,0,White or Caucassian,,"$40,000 - $59,999"
2020-06-19 10:18:18,2020-06-19 10:22:28,IP Address,74.221.45.17,100,249,True,2020-06-19 10:22:28,R_1EaPT6Bd3MXfmgo,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Good,Yes,No,Yes,,,,,Housing quality if poor,,No,9,9,1,9,,,People don't seem to take pride in their property; particularly people who do rent,be more proactive enforcing length of grass and rubbish in yards for extended periods of time,Female,41 - 55,2,0,White or Caucassian,,"$100,000 or more"
2020-06-19 12:09:46,2020-06-19 12:12:27,IP Address,45.53.67.210,100,161,True,2020-06-19 12:12:28,R_8esL9oCgwt9HlPH,,,,,42.6190948486328125,-95.9761962890625,anonymous,EN,Yes,Less than 1 year,Own,Single-family home,$500 - $699,Good,Yes,No,Yes,,,,,Not enough affordable housing,,No,4,1,3,2,,,,,Female,19 - 25,1,2,White or Caucassian,,"$20,000 - $39,999"
2020-06-19 12:10:09,2020-06-19 12:20:06,IP Address,66.172.218.178,100,597,True,2020-06-19 12:20:06,R_25yALqIJSTkjtHy,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Rent,Apartment,$500 - $699,Fair,Yes,Yes,Yes,,,,,Not enough affordable housing,,Yes,2,4,3,,,,Update the apartments & make sure the apartment is cleaned well before tenant moves in,,Female,56 -70,1,0,White or Caucassian,,"$19,999 or less"
2020-06-19 13:01:43,2020-06-19 13:11:15,IP Address,166.181.83.78,100,572,True,2020-06-19 13:11:15,R_2ROnORpgPdjGG46,,,,,41.5164031982421875,-90.61409759521484375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$1,500 - $1,999",Excellent,No,No,Yes,,,,,Not enough of the right home styles,,Yes,,,,,,,Druggies out,"Stop living off the government ",Female,26 - 40,2,3,White or Caucassian,,"$60,000 - $79,999"
2020-06-19 13:48:40,2020-06-19 13:54:37,IP Address,107.77.208.214,100,357,True,2020-06-19 13:54:38,R_2So608GTle75xx6,,,,,41.9208984375,-87.7042999267578125,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,$300 - $499,Excellent,Yes,Yes,Yes,,,,,Do not qualify for home mortgage,,No,,,,,,,,,Female,56 -70,3,1,White or Caucassian,,"$20,000 - $39,999"
2020-06-22 06:00:55,2020-06-22 06:03:43,IP Address,74.221.45.17,100,168,True,2020-06-22 06:03:44,R_3fvJdcUdnanABeJ,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$1,500 - $1,999",Good,No,Yes,Yes,,,,,Do not qualify for home mortgage,,Yes,4,1,2,3,,,"Infrastructure Spots  ","Grants Infrastructure  Make lots available ",Male,41 - 55,2,0,White or Caucassian,,"$100,000 or more"
2020-06-23 09:37:01,2020-06-23 09:42:56,IP Address,66.172.234.45,100,354,True,2020-06-23 09:42:56,R_2YLBJmRsVxTU3FL,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Rent,Apartment,$700 - $899,Fair,Yes,Yes,Yes,,,,,Not enough affordable housing,,Yes,4,1,2,3,,,"people in the community don't seem to support each other very well. especially small businesses. so i'm not sure that supporting something like low income housing is something that the community as a whole would even be willing to support. the only low income housing we currently have available in this town are so run down and nasty that people have a VERY bad taste in their mouth for anything ""low income"".",make people aware of what the intended plan would be and that if low income properties were to become available how they would be maintained.,Female,26 - 40,1,2,White or Caucassian,,"$20,000 - $39,999"
2020-06-23 13:10:35,2020-06-23 13:26:29,IP Address,66.172.226.41,100,954,True,2020-06-23 13:26:30,R_1dicI0UV4D6m5uw,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Excellent,Yes,No,Yes,,,,,Not enough of the right home styles,,No,4,3,1,2,,,"Simple lack of community support.  ","Quit appraising houses for so much money if they aren’t worth it.  ",Female,26 - 40,2,2,Don't wish to answer,,"$100,000 or more"
2020-06-23 13:33:06,2020-06-23 13:36:33,IP Address,66.172.226.41,100,206,True,2020-06-23 13:36:33,R_33dahxEiBQoRkyv,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,1 - 5 years,Rent,Single-family home,$500 - $699,Good,Yes,Yes,Yes,,,,,Not enough of the right home styles,,No,2,4,1,3,,,"Lack of sufficient, skilled contractors in the area",Create more single and multi-unit housing,Male,26 - 40,2,0,White or Caucassian,,"$100,000 or more"
2020-06-23 14:48:51,2020-06-23 14:52:02,IP Address,66.172.251.150,100,190,True,2020-06-23 14:52:02,R_wZbc8ZwWZHkbHNv,,,,,42.497100830078125,-95.57160186767578125,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,Yes,,,,,Not enough of the right home styles,,No,3,4,1,2,,,,,Female,26 - 40,2,3,White or Caucassian,,"$60,000 - $79,999"
2020-06-17 14:01:20,2020-06-17 14:07:44,IP Address,66.172.234.45,42,383,False,2020-06-24 14:07:57,R_3CDfi11rMvgvNLH,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Excellent,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 09:44:14,2020-06-18 09:45:53,IP Address,74.221.45.17,42,98,False,2020-06-25 09:46:09,R_1JQrkrvylzZ6jRd,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Fair,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:11:46,2020-06-18 10:13:00,IP Address,205.221.120.3,42,74,False,2020-06-25 10:13:08,R_vSn5ymRRe6LhItj,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Fair,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:13:16,2020-06-18 10:14:05,IP Address,66.172.218.250,42,48,False,2020-06-25 10:14:21,R_bvfr1Hz3E3uW2C5,,,,,,,anonymous,EN,Yes,Less than 1 year,Own,Single-family home,$500 - $699,Good,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:14:33,2020-06-18 10:16:19,IP Address,100.42.84.70,42,106,False,2020-06-25 10:16:27,R_1lfSyHV4hlL1yvc,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Good,No,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:14:55,2020-06-18 10:16:19,IP Address,66.172.250.8,42,83,False,2020-06-25 10:16:29,R_23fOdtUT4jADLct,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Fair,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:18:11,2020-06-18 10:19:43,IP Address,66.43.227.116,42,92,False,2020-06-25 10:20:04,R_1LUuHLPPHppg9oM,,,,,,,anonymous,EN,No,,,,,,,,Retired,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:23:55,2020-06-18 10:25:26,IP Address,166.232.250.196,42,91,False,2020-06-25 10:25:35,R_7PelZ433WWphbPz,,,,,,,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,$700 - $899,Good,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:34:16,2020-06-18 10:34:34,IP Address,66.172.251.79,8,17,False,2020-06-25 10:34:44,R_Ow1HVZevCPQO3W9,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:35:00,2020-06-18 10:35:46,IP Address,66.172.227.150,42,46,False,2020-06-25 10:35:47,R_1dAkPZKblRlNw84,,,,,,,anonymous,EN,Yes,6 - 10 years,Own,Single-family home,$500 - $699,Fair,,,No,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:48:13,2020-06-18 10:48:29,IP Address,66.172.218.212,8,16,False,2020-06-25 10:48:30,R_1EZnJHJCvoxzX9L,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 10:53:09,2020-06-18 10:54:15,IP Address,66.172.250.161,42,66,False,2020-06-25 10:54:46,R_DwQjWx7Jkv17kUp,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 11:01:27,2020-06-18 11:02:36,IP Address,66.172.251.55,42,69,False,2020-06-25 11:03:21,R_24ecZMLoDpQLDBE,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Excellent,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 11:29:01,2020-06-18 11:29:13,IP Address,66.172.230.43,8,12,False,2020-06-25 11:29:29,R_1oB9DnLGgjYIfEl,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 11:39:55,2020-06-18 11:41:52,IP Address,66.172.250.90,42,116,False,2020-06-25 11:41:52,R_2xS4XgkqK9F5KXv,,,,,,,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,Less than $300,Excellent,No,No,No,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 12:05:13,2020-06-18 12:05:17,IP Address,66.172.230.150,8,3,False,2020-06-25 12:05:44,R_2YochY98zpYxrGq,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 14:08:10,2020-06-18 14:08:19,IP Address,100.42.84.115,8,9,False,2020-06-25 14:08:21,R_1mOvGsjtfQfRRIX,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 17:01:41,2020-06-18 17:03:11,IP Address,174.219.8.66,42,90,False,2020-06-25 17:03:18,R_2QWLIJQwAGXPyhE,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Good,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 18:16:58,2020-06-18 18:18:29,IP Address,66.172.227.143,42,90,False,2020-06-25 18:18:41,R_3svNZvHLqcW3clv,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Good,No,,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 17:32:51,2020-06-18 18:18:55,IP Address,66.172.250.148,42,2764,False,2020-06-25 18:18:57,R_1JENzu8f7TbXUZz,,,,,,,anonymous,EN,Yes,6 - 10 years,Rent,Apartment,$500 - $699,Good,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 18:26:28,2020-06-18 18:27:54,IP Address,66.172.251.52,42,85,False,2020-06-25 18:27:55,R_2tD30ORJaSQlJa1,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Excellent,No,No,Retired,,,,,,,,,,,,,,,,,,,,,,
2020-06-25 18:48:59,2020-06-25 18:56:16,IP Address,207.177.7.8,100,437,True,2020-06-25 18:56:16,R_VXa4PWFrTXrRysV,,,,,42.3094940185546875,-95.25009918212890625,anonymous,EN,No,,,,,,,,Yes,,Other,"Would like condo style. Close to retirement ",Better quality housing options,Housing quality if poor,,Yes,2,4,3,5,1,"Condo style ","Commitment and money to move forward ",Not sur,Female,56 -70,1,0,White or Caucassian,,"$80,000 - $99,999"
2020-06-18 19:22:56,2020-06-18 19:25:15,IP Address,45.52.241.202,42,138,False,2020-06-25 19:26:09,R_Q5rSmirfwXe13Tr,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,"$1,200 - $1,499",Good,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 20:39:07,2020-06-18 20:42:25,IP Address,66.172.230.79,42,197,False,2020-06-25 20:42:32,R_NVGt6NU7rgtHXMJ,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Excellent,No,Yes,Retired,,,,,,,,,,,,,,,,,,,,,,
2020-06-19 08:01:46,2020-06-19 08:08:59,IP Address,45.52.243.77,42,433,False,2020-06-26 08:09:15,R_2CChfeNrHksvNUB,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$300 - $499,Excellent,No,Yes,Retired,,,,,,,,,,,,,,,,,,,,,,
2020-06-19 08:52:20,2020-06-19 08:52:36,IP Address,40.132.82.159,42,15,False,2020-06-26 08:53:13,R_6S5OrmYiq1wI3e1,,,,,,,anonymous,EN,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
2020-06-19 12:52:21,2020-06-19 12:52:31,IP Address,174.219.1.127,8,9,False,2020-06-26 12:52:31,R_PCLqrOyMlkzVtsd,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19 12:53:30,2020-06-19 12:55:15,IP Address,166.182.80.21,42,104,False,2020-06-26 12:55:19,R_bDFeMcp1IFggNwd,,,,,,,anonymous,EN,Yes,10+ years,Rent,Apartment,$500 - $699,Good,No,No,No,,,,,,,,,,,,,,,,,,,,,,
2020-06-19 13:11:03,2020-06-19 13:12:39,IP Address,45.52.254.227,42,95,False,2020-06-26 13:12:39,R_3sgM1YERjJDFDXy,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,"$900 - $1,199",Good,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-19 13:41:11,2020-06-19 13:41:15,IP Address,66.172.217.71,8,4,False,2020-06-26 13:41:26,R_ZJD0TD7NJDBCvsJ,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19 21:52:04,2020-06-19 21:52:52,IP Address,66.172.250.67,42,48,False,2020-06-26 21:52:56,R_sih5KhTrp5hByN3,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$700 - $899,Fair,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-20 11:03:54,2020-06-20 11:04:31,IP Address,66.172.217.71,42,36,False,2020-06-27 11:04:32,R_ps0Vzcs6xtrAPa9,,,,,,,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Good,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,
2020-06-27 15:01:06,2020-06-27 15:06:28,IP Address,174.250.64.213,100,322,True,2020-06-27 15:06:29,R_1ibslv7CDKDi5el,,,,,44.9833984375,-93.26219940185546875,anonymous,EN,Yes,10+ years,Own,Single-family home,$500 - $699,Fair,Yes,Yes,Yes,,,,,Not enough affordable housing,,Yes,2,1,3,4,,,,,Female,41 - 55,2,0,White or Caucassian,,"$20,000 - $39,999"
